       CODMICRO       NUMMAIOR         MAXIMO       AREAMARY    AREAMICROUT                  
          23004             17          1.249        288.468        128.612
          43002             28          1.055       3871.386       2324.902
          21009           3009          1.059      27383.001      12352.737
          41022              4          1.035       8727.838       5846.743
          41023             22          1.064       8509.138       5232.983
          23006             40          1.122       2856.901        936.220
          43003            404          1.102       5186.582       3017.111
          21010           1336          1.310      10245.567       4722.222
          41024            435          1.145       5586.763       2532.493
          43004            401          1.176       5725.016       3517.123
          21011           1025          1.205      37935.489       7384.711
          12003            201          1.003      40759.634       1499.825
          43005            110          1.046       3115.292       1917.832
          41025              2          1.014       2324.720       1534.289
          35006            945          1.177       2316.085       2030.948
          21012            233          1.285       7298.733       2009.494
          12004           1068          1.118      23449.789       7412.148
          43006             81          1.043       2235.774       1554.642
          41026             47          1.071       5479.613       3369.364
          35007             22          1.052       2028.944       1566.480
          21013            668          1.661       7360.312       2598.512
          12005            789          1.102      13609.771       2764.953
          43007             60          1.035      10926.336       7682.646
          31063             31          1.035       4758.197       2737.202
          43008              1          1.013       5122.265       3598.747
          25013             24          1.097       1220.862        762.074
          41028            571          1.145       4925.812       3150.312
          21015             65          1.123       9035.498       2050.494
          23011             60          1.459       3034.261        907.080
          35010            595          1.140       5585.569       4333.119
          41029             22          1.050      16143.744       6569.711
          21016            138          1.637       3607.130        645.351
          43009              9          1.031       4943.961       3478.443
          25015            124          1.275       1282.218        725.886
          41030              8          1.048       5413.732       2437.657
          23013             65          1.098       2739.821        904.942
          27004            155          1.016       1803.605       1153.683
          25016            210          1.384       1265.453        966.424
          41031            110          1.109       6171.410       2584.342
          21018            902          1.467      24659.190       4607.350
          31066             47          1.113       3928.562       2223.838
          43011             89          1.080       8397.748       6125.443
          25017            134          1.151       2029.863        970.149
          27005             51          1.001       2402.818       1621.416
          50001          18717          1.433      83183.624      48050.282
          43012             11          1.015       1428.536       1124.700
          23015              3          1.098       2522.025        958.904
          25018            146          1.052       1430.973       1008.149
          50002           4357          1.808      27789.420      16984.363
          43013            573          1.198       3653.401       2015.688
          23016            174          1.271       3391.071       1144.731
          21021             13          1.046      17164.141       4210.522
          50003           4109          1.087      41377.508      25355.386
          35015            802          1.343       3095.730       2384.290
          43014            324          1.109       3635.991       1814.882
          27008            420          1.095       1784.095       1240.602
          50004           2013          1.098      28330.063      18983.950
          25020             13          1.022       1968.421        896.120
          27009           1560          1.337       4058.800       3237.603
          50005            173          1.026      13244.237       9906.554
          27010            377          1.341        943.419        737.436
          43017           3155          1.091      10960.924       8324.403
          43018            799          1.150      11798.729       7984.149
          50007           2485          1.074      50579.682      35333.713
          27012            664          1.096       2949.474       2282.076
          25023            109          1.195        863.321        441.472
          43019            367          1.165       3009.114       1885.879
          50008            104          1.030      13478.936       8860.099
          35019              1          1.027       3887.215       2704.817
          27013            434          1.260       1694.045        975.737
          26001              1          1.051      12004.151       3851.419
          43020            761          1.241       5422.363       2821.404
          50009           9552          1.227      22640.462      15830.415
          35020            127          1.074       8521.406       5349.189
          43021             41          1.069       4029.169       1604.017
          50010             24          1.061      37447.163      26025.695
          35021            435          1.156       4030.960       2961.938
          26003             35          1.056       8710.031       3024.479
          43022             30          1.142       7718.134       4897.404
          13003            491          2.074     213981.218       2409.637
          35022            186          1.248       5936.877       3626.646
          50011           1890          1.109      22438.260      17313.323
          43023              6          1.062       2137.408        687.072
          51001           4899          1.259     124506.021      16720.660
          13005            262          1.758      40018.823       1163.264
          51002           5582          1.817      46843.350      12841.456
          43025             74          1.187       4858.904       1967.164
          35024           1972          1.283       6281.712       4531.963
          33005             92          1.077       1665.427        868.596
          13006            249          1.490     111958.226       1597.703
          43026             55          1.060       5746.032       2037.216
          51003           4827          1.335      46717.194      15435.974
          43027            133          1.154       8793.726       3417.986
          13007             14          1.011      41365.889       3390.805
          51004            127          1.031      56425.718      15491.022
          33007              5          1.019       2059.641        669.862
          26008           2819          1.541       7933.077       6085.061
          43028             14          1.057       5673.916       3135.597
          13008             23          1.028      31339.753        506.034
          35027            237          1.233       2314.763       1451.865
          51005           4402          1.625      55984.944      13299.595
          31014           1564          1.249      15480.703       7610.999
          51006          13513          1.653      42164.312      25383.876
          26009             38          1.042       1776.484        992.389
          53001              1          1.027       5816.148       1819.370
          51008           3636          1.336      47187.907      15254.289
          43032           1203          1.141      15126.669       8964.687
          26011            189          1.038       5201.450       3380.319
          33011             91          1.063       3834.572       1499.031
          35030            208          2.277       5444.313       3356.004
          13012            762          1.511     187950.953       3580.733
          51009           7210          1.508      82285.820      30821.221
          43033            556          1.049      10249.416       5985.974
          26012             55          1.058       2517.487       1468.389
          35031            183          1.144       2343.454       1558.946
          51010           4779          1.165      60483.358      24409.654
          35032            157          1.115       3081.805       1154.480
          33013              2          1.084       1738.300        104.860
          43035             28          1.171       9408.785       4648.174
          16002              6          1.110      20902.683       1404.130
          51012           1552          1.173      34582.508      16118.912
          42001            376          1.179       4207.554       2572.004
          51013            211          1.010      23056.258       8186.825
          26015           2799          1.722       4538.146       4475.715
          35035           1475          1.133       3665.331       3332.054
          42002            509          1.151       6090.592       3651.585
          26016             37          1.178        540.437        226.140
          51014           3042          1.334      16965.253      10882.263
          42003             12          1.036       4800.542       2368.343
          29001            223          1.169      53241.475      15477.908
          35036             15          1.055      17545.652      12644.794
          33018             13          1.056       4650.607        617.959
          35037           1181          1.206       2310.698       2137.680
          51016            678          1.310      10296.852       4254.921
          42005              1          1.034       3145.644       1475.735
          29003            660          1.784      41122.764       9744.715
          22001             27          1.027      12632.900       2432.642
          35038           1526          1.218       4866.541       3627.799
          29004              1          1.326      55706.778       7306.390
          22002             43          1.071       9375.518       1622.283
          35039             81          1.112       7158.959       5283.352
          51018            207          1.012      53690.580      15058.038
          22003             62          3.266       9087.187       2714.146
          22004            100          1.193      24411.963       5136.415
          42008            146          1.244       4618.098        978.820
          35041           1016          1.274       7662.829       4609.541
          22005             72          1.106       8670.507       1046.979
          51020           1319          1.048      27654.096      14478.261
          22006            942          1.509      13258.846       3808.548
          35043              9          1.071       2244.858        981.791
          42010              7          1.011      15802.921       5727.048
          51021           1325          1.051      23912.699      12972.447
          22007            150          1.111      26197.300       3843.260
          52003           1074          1.109      11079.041       7184.006
          42012              1          1.011       4749.053        838.137
          35045           1003          1.610       4169.378       2021.341
          22009              3          1.052      18530.632       2376.480
          52004           1512          1.131      35264.286      17761.037
          29011           2470          1.102      16701.411       9493.464
          24010            113          1.110       2999.906       1143.334
          52005            348          1.137      21446.190       7926.913
          24011             29          1.009       3130.885       1628.670
          22010             11          1.194      26854.602       3267.101
          42014              1          1.018       1455.074        573.339
          29013             10          1.084       8298.334       3927.000
          22011              3          1.019      27059.979       2959.960
          35048            151          1.303       3138.445       1241.523
          29014            177          1.055      20032.644       7395.795
          22012            125          1.130      17988.011       3340.274
          15004            577          1.635      45247.797       2112.072
          52008            376          1.063       7088.420       4659.928
          29015            365          1.135       7453.411       4515.981
          22013             70          1.347      10311.652       2245.148
          15005            528          2.197      30199.000       2775.937
          24015             80          1.031       3496.602       2128.465
          24016            275          1.379       2520.863       1061.819
          29017            143          1.019       5486.014       2682.264
          15007            113          1.600       3140.754        363.815
          42019              1          1.006       2126.909        713.950
          52011            332          1.096      17439.144       8140.527
          29018             74          1.070       4373.193       1533.232
          42020            277          1.187       2940.908       1284.529
          52012            119          1.021      38172.140      17240.813
          35052             11          1.074       2064.752        822.756
          41001            712          1.100      10146.506       8315.526
          29019            153          1.117       2795.250       1025.791
          24019            267          1.215       1407.306        778.249
          52013             12          1.028      56223.865      34713.760
          41002             94          1.082      10315.325       8066.977
          29020           1869          1.394       5672.322       3644.723
          29021             74          1.405       3063.770        554.949
          41003           1087          1.130       4106.923       3313.376
          35054             36          1.258       1945.889        115.030
          11002           1186          1.659      40468.234       3454.765
          52015             62          1.041      21240.170      13835.695
          15011           1652          2.251      16130.612       4785.846
          28003             80          1.077       1274.749        940.140
          41004            259          1.208       4930.015       3816.574
          11003           2158          1.199      27092.297       9364.519
          35055            913          1.537      11189.796       2227.054
          41005           2117          1.207       6991.927       5674.612
          29024            424          1.250      17451.142       8192.423
          11004           4794          1.237      25062.381      12153.850
          35056             17          1.085       1997.625        137.383
          15013            695          1.308      28412.934       7420.957
          29025              2          1.089       5644.327       1495.620
          11005           1442          1.242      16406.047       4937.656
          35057             26          2.032        697.114         72.078
          29026            291          1.163      22546.369       8646.051
          15014            538          1.245     190225.197       6800.370
          41007            512          1.177       2382.615       1853.638
          21001            423          2.312       9232.962       1751.044
          11006           2537          1.148      22178.343      10054.238
          15015           2705          1.504     226894.812      14404.382
          29028            468          1.088      18739.185       8077.887
          15016           1205          1.351      33029.031       8326.012
          21003           1544          3.427       6264.782       3558.309
          41010            807          1.183       2265.625       1833.010
          15017            507          1.496      48459.823      11736.604
          29030           1156          1.674       5679.907       2589.097
          21005           1734          1.746      17907.402       5969.821
          41011           2069          1.272       3511.030       3167.938
          15018           9650          1.976     120980.567      22195.824
          29031           5915          2.517      21358.661      11977.672
          35062            146          1.501       2066.846        610.976
          41012           1332          1.313       2249.633       1992.308
          21006            722          1.526       7057.415       1939.358
          15019            491          1.014      23131.254       6528.709
